#Common	Kanji	Simpl.	Kun'yomi	On'yomi	Pinyin
訂	訂	订		テイ	dìng
庭	庭	庭	にわ	テイ	tíng
遞	逓	递		テイ	dì
停	停	停		テイ	tíng
偵	偵	侦		テイ	zhēn
堤	堤	堤	つつみ	テイ	dī
提	提	提	さ-げる	テイ	tí
程	程	程	ほど	テイ	chéng
艇	艇	艇		テイ	tǐng
締	締	缔	し-まる、し-める	テイ	dì
諦	諦	谛	あきら-める	テイ	dì
泥	泥	泥	どろ	デイ	ní
的	的	的	まと	テキ	de
笛	笛	笛	ふえ	テキ	dí
摘	摘	摘	つ-む	テキ	zhāi
滴	滴	滴	しずく、したた-る	テキ	dī
適	適	适		テキ	shì
敵	敵	敌	かたき	テキ	dí
迭	迭	迭		テツ	dié
哲	哲	哲		テツ	zhé
鐵	鉄	铁		テツ	tiě
徹	徹	彻		テツ	chè
撤	撤	撤		テツ	chè
天	天	天	あめ、（あま）	テン	tiān
典	典	典		テン	diǎn
店	店	店	みせ	テン	diàn
點	点	点		テン	diǎn
展	展	展		テン	zhǎn
添	添	添	そ-える、そ-う	テン	tiān
轉	転	转	ころ-がる、ころ-げる、ころ-がす、ころ-ぶ	テン	zhuǎn
田	田	田	た	デン	tián
傳	伝	传	つた-わる、つた-える、つた-う	デン	chuán
殿	殿	殿	との、どの	デン、テン	diàn
電	電	电		デン	diàn
斗	斗	斗		ト	dòu
吐	吐	吐	は-く	ト	tǔ
徒	徒	徒		ト	tú
途	途	途		ト	tú
渡	渡	渡	わた-る、わた-す	ト	dù
土	土	土	つち	ド、ト	tǔ
奴	奴	奴		ド	nú
努	努	努	つと-める	ド	nǔ
度	度	度	たび	ド、（ト）、（タク）	dù
怒	怒	怒	いか-る、おこ-る	ド	nù
刀	刀	刀	かたな	トウ	dāo
冬	冬	冬	ふゆ	トウ	dōng
燈	灯	灯	ひ	トウ	dēng
當	当	当	あ-たる、あ-てる	トウ	dāng
投	投	投	な-げる	トウ	tóu
豆	豆	豆	まめ	トウ、（ズ）	dòu
東	東	东	ひがし	トウ	dōng
到	到	到		トウ	dào
逃	逃	逃	に-げる、に-がす、のが-す、のが-れる	トウ	táo
倒	倒	倒	たお-れる、たお-す	トウ	dào
凍	凍	冻	こお-る、こご-える	トウ	dòng
唐	唐	唐	から	トウ	táng
島	島	岛	しま	トウ	dǎo
桃	桃	桃	もも	トウ	táo
討	討	讨	う-つ	トウ	tǎo
透	透	透	す-く、す-かす、す-ける	トウ	tòu
黨	党	党		トウ	dǎng
悼	悼	悼	いた-む	トウ	dào
盜	盗	盗	ぬす-む	トウ	dào
陶	陶	陶		トウ	táo
塔	塔	塔		トウ	tǎ
搭	搭	搭		トウ	dā
棟	棟	栋	むね、（むな）	トウ	dòng
湯	湯	汤	ゆ	トウ	tāng
痘	痘	痘		トウ	dòu
登	登	登	のぼ-る	トウ、ト	dēng
答	答	答	こた-える、こた-え	トウ	dá
等	等	等	ひと-しい	トウ	děng
筒	筒	筒	つつ	トウ	tǒng
統	統	统	す-べる	トウ	tǒng
稻	稲	稻	いね、（いな）	トウ	dào
踏	踏	踏	ふ-む、ふ-まえる	トウ	tà
糖	糖	糖		トウ	táng
頭	頭	头	あたま、かしら	トウ、ズ、（ト）	tóu
謄	謄	誊		トウ	téng
藤	藤	藤	ふじ	トウ	téng
騰	騰	腾		トウ	téng
同	同	同	おな-じ	ドウ	tóng
洞	洞	洞	ほら	ドウ	dòng
胴	胴	胴		ドウ	dòng
動	動	动	うご-く、うご-かす	ドウ	dòng
堂	堂	堂		ドウ	táng
童	童	童	わらべ	ドウ	tóng
道	道	道	みち	ドウ、（トウ）	dào
銅	銅	铜		ドウ	tóng
導	導	导	みちび-く	ドウ	dǎo
瞳	瞳	瞳	ひとみ	ドウ	tóng
匿	匿	匿		トク	nì
特	特	特		トク	tè
得	得	得	え-る、う-る	トク	dé
督	督	督		トク	dū
德	徳	德		トク	dé
篤	篤	笃		トク	dǔ
毒	毒	毒		ドク	dú
獨	独	独	ひと-り	ドク	dú
讀	読	读	よ-む	ドク、トク、（トウ）	dú
凸	凸	凸		トツ	tū
屆	届	届	とど-ける、とど-く		jiè
屯	屯	屯		トン	tún
豚	豚	豚	ぶた	トン	tún
頓	頓	顿		トン	dùn
貪	貪	贪	むさぼ-る	ドン	tān
鈍	鈍	钝	にぶ-い、にぶ-る	ドン	dùn
曇	曇	昙	くも-る	ドン	tán
那	那	那		ナ	nà
奈	奈	奈		ナ	nài
梨	梨	梨	なし		lí
鍋	鍋	锅	なべ		guō
南	南	南	みなみ	ナン、（ナ）	nán
軟	軟	软	やわ-らか、やわ-らかい	ナン	ruǎn
二	二	二	ふた、ふた-つ	ニ	èr
尼	尼	尼	あま	ニ	ní
貳	弐	贰		ニ	èr
肉	肉	肉		ニク	ròu
虹	虹	虹	にじ		hóng
日	日	日	ひ、か	ニチ、ジツ	rì
入	入	入	い-る、い-れる、はい-る	ニュウ	rù
乳	乳	乳	ちち、ち	ニュウ	rǔ
尿	尿	尿		ニョウ	niào
任	任	任	まか-せる、まか-す	ニン	rèn
妊	妊	妊		ニン	rèn
忍	忍	忍	しの-ぶ、しの-ばせる	ニン	rěn
認	認	认	みと-める	ニン	rèn
寧	寧	宁		ネイ	níng
熱	熱	热	あつ-い	ネツ	rè
年	年	年	とし	ネン	nián
念	念	念		ネン	niàn
捻	捻	捻		ネン	niǎn
粘	粘	粘	ねば-る	ネン	zhān
燃	燃	燃	も-える、も-やす、も-す	ネン	rán
惱	悩	恼	なや-む、なや-ます	ノウ	nǎo
納	納	纳	おさ-める、おさ-まる	ノウ、（ナッ）、（ナ）、（ナン）、（トウ）	nà
能	能	能		ノウ	néng
腦	脳	脑		ノウ	nǎo
農	農	农		ノウ	nóng
濃	濃	浓	こ-い	ノウ	nóng
把	把	把		ハ	bǎ
波	波	波	なみ	ハ	bō
派	派	派		ハ	pài
破	破	破	やぶ-る、やぶ-れる	ハ	pò
霸	覇	霸		ハ	bà
馬	馬	马	うま、（ま）	バ	mǎ
婆	婆	婆		バ	pó
罵	罵	骂	ののし-る	バ	mà
拜	拝	拜	おが-む	ハイ	bài
杯	杯	杯	さかずき	ハイ	bēi
背	背	背	せ、せい、そむ-く、そむ-ける	ハイ	bèi
肺	肺	肺		ハイ	fèi
俳	俳	俳		ハイ	pái
配	配	配	くば-る	ハイ	pèi
排	排	排		ハイ	pái
敗	敗	败	やぶ-れる	ハイ	bài
廢	廃	废	すた-れる、すた-る	ハイ	fèi
輩	輩	辈		ハイ	bèi
賣	売	卖	う-る、う-れる	バイ	mài
倍	倍	倍		バイ	bèi
培	培	培	つちか-う	バイ	péi
陪	陪	陪		バイ	péi
媒	媒	媒		バイ	méi
買	買	买	か-う	バイ	mǎi
賠	賠	赔		バイ	péi
白	白	白	しろ、（しら）、しろ-い	ハク、ビャク	bái
伯	伯	伯		ハク	bó
拍	拍	拍		ハク、（ヒョウ）	pāi
泊	泊	泊	と-まる、と-める	ハク	pō
迫	迫	迫	せま-る	ハク	pò
舶	舶	舶		ハク	bó
博	博	博		ハク、（バク）	bó
薄	薄	薄	うす-い、うす-める、うす-まる、うす-らぐ、うす-れる	ハク	báo
麥	麦	麦	むぎ	バク	mài
漠	漠	漠		バク	mò
縛	縛	缚	しば-る	バク	fù
爆	爆	爆		バク	bào
箱	箱	箱	はこ		xiāng
肌	肌	肌	はだ		jī
八	八	八	や、や-つ、やっ-つ、（よう）	ハチ	bā
發	発	发		ハツ、ホツ	fā
伐	伐	伐		バツ	fá
拔	抜	拔	ぬ-く、ぬ-ける、ぬ-かす、ぬ-かる	バツ	bá
罰	罰	罚		バツ、バチ	fá
閥	閥	阀		バツ	fá
反	反	反	そ-る、そ-らす	ハン、（ホン）、（タン）	fǎn
半	半	半	なか-ば	ハン	bàn
氾	氾	氾		ハン	fàn
犯	犯	犯	おか-す	ハン	fàn
帆	帆	帆	ほ	ハン	fān
伴	伴	伴	ともな-う	ハン、バン	bàn
判	判	判		ハン、バン	pàn
坂	坂	坂	さか	ハン	bǎn
阪	阪	阪		ハン	bǎn
板	板	板	いた	ハン、バン	bǎn
版	版	版		ハン	bǎn
班	班	班		ハン	bān
畔	畔	畔		ハン	pàn
般	般	般		ハン	bān
販	販	贩		ハン	fàn
斑	斑	斑		ハン	bān
飯	飯	饭	めし	ハン	fàn
搬	搬	搬		ハン	bān
煩	煩	烦	わずら-う、わずら-わす	ハン、（ボン）	fán
頒	頒	颁		ハン	bān
藩	藩	藩		ハン	fān
晚	晩	晚		バン	wǎn
番	番	番		バン	fān
蠻	蛮	蛮		バン	mán
盤	盤	盘		バン	pán
比	比	比	くら-べる	ヒ	bǐ
皮	皮	皮	かわ	ヒ	pí
妃	妃	妃		ヒ	fēi
否	否	否	いな	ヒ	fǒu
批	批	批		ヒ	pī
彼	彼	彼	かれ、（かの）	ヒ	bǐ
披	披	披		ヒ	pī
肥	肥	肥	こ-える、こえ、こ-やす、こ-やし	ヒ	féi
非	非	非		ヒ	fēi
飛	飛	飞	と-ぶ、と-ばす	ヒ	fēi
疲	疲	疲	つか-れる	ヒ	pí
祕	秘	祕	ひ-める	ヒ	mì
被	被	被	こうむ-る	ヒ	bèi
悲	悲	悲	かな-しい、かな-しむ	ヒ	bēi
扉	扉	扉	とびら	ヒ	fēi
費	費	费	つい-やす、つい-える	ヒ	fèi
罷	罷	罢		ヒ	bà
避	避	避	さ-ける	ヒ	bì
尾	尾	尾	お	ビ	wěi
眉	眉	眉	まゆ	ビ、（ミ）	méi
美	美	美	うつく-しい	ビ	měi
備	備	备	そな-える、そな-わる	ビ	bèi
微	微	微		ビ	wēi
鼻	鼻	鼻	はな	ビ	bí
膝	膝	膝	ひざ		xī
肘	肘	肘	ひじ		zhǒu
匹	匹	匹	ひき	ヒツ	pǐ
必	必	必	かなら-ず	ヒツ	bì
泌	泌	泌		ヒツ、ヒ	mì
筆	筆	笔	ふで	ヒツ	bǐ
百	百	百		ヒャク	bǎi
表	表	表	おもて、あらわ-す、あらわ-れる	ヒョウ	biǎo
俵	俵	俵	たわら	ヒョウ	biào
票	票	票		ヒョウ	piào
評	評	评		ヒョウ	píng
漂	漂	漂	ただよ-う	ヒョウ	piào
標	標	标		ヒョウ	biāo
苗	苗	苗	なえ、（なわ）	ビョウ	miáo
秒	秒	秒		ビョウ	miǎo
病	病	病	や-む、やまい	ビョウ、（ヘイ）	bìng
描	描	描	えが-く、か-く	ビョウ	miáo
品	品	品	しな	ヒン	pǐn
濱	浜	滨	はま	ヒン	bīn
貧	貧	贫	まず-しい	ヒン、ビン	pín
不	不	不		フ、ブ	bù
夫	夫	夫	おっと	フ、（フウ）	fū
父	父	父	ちち	フ	fù
付	付	付	つ-ける、つ-く	フ	fù
布	布	布	ぬの	フ	bù
扶	扶	扶		フ	fú
府	府	府		フ	fǔ
怖	怖	怖	こわ-い	フ	bù
阜	阜	阜		（フ）	fù
附	附	附		フ	fù
訃	訃	讣		フ	fù
負	負	负	ま-ける、ま-かす、お-う	フ	fù
赴	赴	赴	おもむ-く	フ	fù
浮	浮	浮	う-く、う-かれる、う-かぶ、う-かべる	フ	fú
婦	婦	妇		フ	fù
符	符	符		フ	fú
富	富	富	と-む、とみ	フ、（フウ）	fù
普	普	普		フ	pǔ
腐	腐	腐	くさ-る、くさ-れる、くさ-らす	フ	fǔ
敷	敷	敷	し-く	フ	fū
膚	膚	肤		フ	fū
賦	賦	赋		フ	fù
譜	譜	谱		フ	pǔ
武	武	武		ブ、ム	wǔ
部	部	部		ブ	bù
舞	舞	舞	ま-う、まい	ブ	wǔ
封	封	封		フウ、ホウ	fēng
風	風	风	かぜ、（かざ）	フウ、（フ）	fēng
伏	伏	伏	ふ-せる、ふ-す	フク	fú
服	服	服		フク	fú
副	副	副		フク	fù
幅	幅	幅	はば	フク	fú
復	復	复		フク	fù
腹	腹	腹	はら	フク	fù
覆	覆	覆	おお-う、くつがえ-す、くつがえ-る	フク	fù
拂	払	拂	はら-う	フツ	fú
沸	沸	沸	わ-く、わ-かす	フツ	fèi
佛	仏	佛	ほとけ	ブツ	fú
物	物	物	もの	ブツ、モツ	wù
粉	粉	粉	こ、こな	フン	fěn
紛	紛	纷	まぎ-れる、まぎ-らす、まぎ-らわす、まぎ-らわしい	フン	fēn
噴	噴	喷	ふ-く	フン	pēn
墳	墳	坟		フン	fén
憤	憤	愤	いきどお-る	フン	fèn
奮	奮	奋	ふる-う	フン	fèn
分	分	分	わ-ける、わ-かれる、わ-かる、わ-かつ	ブン、フン、ブ	fēn
文	文	文	ふみ	ブン、モン	wén
聞	聞	闻	き-く、き-こえる	ブン、モン	wén
丙	丙	丙		ヘイ	bǐng
平	平	平	たい-ら、ひら	ヘイ、ビョウ	píng
兵	兵	兵		ヘイ、ヒョウ	bīng
柄	柄	柄	がら、え	ヘイ	bǐng
陛	陛	陛		ヘイ	bì
閉	閉	闭	と-じる、と-ざす、し-める、し-まる	ヘイ	bì
幣	幣	币		ヘイ	bì
弊	弊	弊		ヘイ	bì
米	米	米	こめ	ベイ、マイ	mǐ
壁	壁	壁	かべ	ヘキ	bì
璧	璧	璧		ヘキ	bì
癖	癖	癖	くせ	ヘキ	pǐ
別	別	别	わか-れる	ベツ	bié
蔑	蔑	蔑	さげす-む	ベツ	miè
片	片	片	かた	ヘン	piàn
邊	辺	边	あた-り、べ	ヘン	biān
返	返	返	かえ-す、かえ-る	ヘン	fǎn
變	変	变	か-わる、か-える	ヘン	biàn
偏	偏	偏	かたよ-る	ヘン	piān
遍	遍	遍		ヘン	biàn
編	編	编	あ-む	ヘン	biān
便	便	便	たよ-り	ベン、ビン	biàn
步	歩	步	ある-く、あゆ-む	ホ、ブ、（フ）	bù
保	保	保	たも-つ	ホ	bǎo
哺	哺	哺		ホ	bǔ
捕	捕	捕	と-らえる、と-らわれる、と-る、つか-まえる、つか-まる	ホ	bǔ
補	補	补	おぎな-う	ホ	bǔ
母	母	母	はは	ボ	mǔ
募	募	募	つの-る	ボ	mù
墓	墓	墓	はか	ボ	mù
慕	慕	慕	した-う	ボ	mù
暮	暮	暮	く-れる、く-らす	ボ	mù
簿	簿	簿		ボ	bù
方	方	方	かた	ホウ	fāng
包	包	包	つつ-む	ホウ	bāo
芳	芳	芳	かんば-しい	ホウ	fāng
邦	邦	邦		ホウ	bāng
奉	奉	奉	たてまつ-る	ホウ、（ブ）	fèng
寶	宝	宝	たから	ホウ	bǎo
抱	抱	抱	だ-く、いだ-く、かか-える	ホウ	bào
放	放	放	はな-す、はな-つ、はな-れる、ほう-る	ホウ	fàng
法	法	法		ホウ、（ハッ）、（ホッ）	fǎ
泡	泡	泡	あわ	ホウ	pào
胞	胞	胞		ホウ	bāo
俸	俸	俸		ホウ	fèng
峰	峰	峰	みね	ホウ	fēng
崩	崩	崩	くず-れる、くず-す	ホウ	bēng
訪	訪	访	おとず-れる、たず-ねる	ホウ	fǎng
報	報	报	むく-いる	ホウ	bào
蜂	蜂	蜂	はち	ホウ	fēng
豐	豊	丰	ゆた-か	ホウ	fēng
飽	飽	饱	あ-きる、あ-かす	ホウ	bǎo
縫	縫	缝	ぬ-う	ホウ	fèng
亡	亡	亡	な-い	ボウ、（モウ）	wáng
乏	乏	乏	とぼ-しい	ボウ	fá
忙	忙	忙	いそが-しい	ボウ	máng
坊	坊	坊		ボウ、（ボッ）	fāng
妨	妨	妨	さまた-げる	ボウ	fáng
忘	忘	忘	わす-れる	ボウ	wàng
防	防	防	ふせ-ぐ	ボウ	fáng
房	房	房	ふさ	ボウ	fáng
肪	肪	肪		ボウ	fáng
某	某	某		ボウ	mǒu
冒	冒	冒	おか-す	ボウ	mào
剖	剖	剖		ボウ	pōu
紡	紡	纺	つむ-ぐ	ボウ	fǎng
望	望	望	のぞ-む	ボウ、モウ	wàng
傍	傍	傍	かたわ-ら	ボウ	bàng
帽	帽	帽		ボウ	mào
棒	棒	棒		ボウ	bàng
貿	貿	贸		ボウ	mào
貌	貌	貌		ボウ	mào
暴	暴	暴	あば-く、あば-れる	ボウ、（バク）	bào
膨	膨	膨	ふく-らむ、ふく-れる	ボウ	péng
謀	謀	谋	はか-る	ボウ、（ム）	móu
北	北	北	きた	ホク	běi
木	木	木	き、（こ）	ボク、モク	mù
朴	朴	朴		ボク	pǔ
牧	牧	牧	まき	ボク	mù
睦	睦	睦		ボク	mù
沒	没	没		ボツ	méi
勃	勃	勃		ボツ	bó
本	本	本	もと	ホン	běn
奔	奔	奔		ホン	bēn
凡	凡	凡		ボン、（ハン）	fán
盆	盆	盆		ボン	pén
麻	麻	麻	あさ	マ	má
摩	摩	摩		マ	mó
磨	磨	磨	みが-く	マ	mó
魔	魔	魔		マ	mó
每	毎	每		マイ	měi
妹	妹	妹	いもうと	マイ	mèi
枚	枚	枚		マイ	méi
昧	昧	昧		マイ	mèi
埋	埋	埋	う-める、う-まる、う-もれる	マイ	mái
幕	幕	幕		マク、バク	mù
膜	膜	膜		マク	mó
枕	枕	枕	まくら		zhěn
又	又	又	また		yòu
末	末	末	すえ	マツ、バツ	mò
抹	抹	抹		マツ	mǒ
萬	万	万		マン、バン	wàn
滿	満	满	み-ちる、み-たす	マン	mǎn
慢	慢	慢		マン	màn
漫	漫	漫		マン	màn
未	未	未		ミ	wèi
味	味	味	あじ、あじ-わう	ミ	wèi
魅	魅	魅		ミ	mèi
岬	岬	岬	みさき		jiǎ
密	密	密		ミツ	mì
蜜	蜜	蜜		ミツ	mì
脈	脈	脉		ミャク	mài
妙	妙	妙		ミョウ	miào
民	民	民	たみ	ミン	mín
眠	眠	眠	ねむ-る、ねむ-い	ミン	mián
矛	矛	矛	ほこ	ム	máo
務	務	务	つと-める、つと-まる	ム	wù
無	無	无	な-い	ム、ブ	wú
夢	夢	梦	ゆめ	ム	mèng
霧	霧	雾	きり	ム	wù
娘	娘	娘	むすめ		niáng
名	名	名	な	メイ、ミョウ	míng
命	命	命	いのち	メイ、ミョウ	mìng
明	明	明	あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす	メイ、ミョウ	míng
迷	迷	迷	まよ-う	メイ	mí
冥	冥	冥		メイ、ミョウ	míng
盟	盟	盟		メイ	méng
銘	銘	铭		メイ	míng
鳴	鳴	鸣	な-く、な-る、な-らす	メイ	míng
滅	滅	灭	ほろ-びる、ほろ-ぼす	メツ	miè
面	面	面	おも、おもて、つら	メン	miàn
綿	綿	绵	わた	メン	mián
茂	茂	茂	しげ-る	モ	mào
模	模	模		モ、ボ	mó
毛	毛	毛	け	モウ	máo
妄	妄	妄		モウ、ボウ	wàng
盲	盲	盲		モウ	máng
耗	耗	耗		モウ、（コウ）	hào
猛	猛	猛		モウ	měng
網	網	网	あみ	モウ	wǎng
目	目	目	め、（ま）	モク、（ボク）	mù
默	黙	默	だま-る	モク	mò
門	門	门	かど	モン	mén
紋	紋	纹		モン	wén
問	問	问	と-う、と-い、（とん）	モン	wèn
冶	冶	冶		ヤ	yě
夜	夜	夜	よ、よる	ヤ	yè
野	野	野	の	ヤ	yě
彌	弥	弥	や		mí
厄	厄	厄		ヤク	è
役	役	役		ヤク、エキ	yì
約	約	约		ヤク	yuē
譯	訳	译	わけ	ヤク	yì
藥	薬	药	くすり	ヤク	yào
躍	躍	跃	おど-る	ヤク	yuè
由	由	由	よし	ユ、ユウ、（ユイ）	yóu
油	油	油	あぶら	ユ	yóu
愉	愉	愉		ユ	yú
諭	諭	谕	さと-す	ユ	yù
輸	輸	输		ユ	shū
唯	唯	唯		ユイ、（イ）	wéi
友	友	友	とも	ユウ	yǒu
有	有	有	あ-る	ユウ、ウ	yǒu
勇	勇	勇	いさ-む	ユウ	yǒng
幽	幽	幽		ユウ	yōu
悠	悠	悠		ユウ	yōu
郵	郵	邮		ユウ	yóu
猶	猶	犹		ユウ	yóu
裕	裕	裕		ユウ	yù
雄	雄	雄	お、おす	ユウ	xióng
誘	誘	诱	さそ-う	ユウ	yòu
憂	憂	忧	うれ-える、うれ-い、う-い	ユウ	yōu
融	融	融		ユウ	róng
優	優	优	やさ-しい、すぐ-れる	ユウ	yōu
與	与	与	あた-える	ヨ	yǔ
豫	予	豫		ヨ	yù
譽	誉	誉	ほま-れ	ヨ	yù
預	預	预	あず-ける、あず-かる	ヨ	yù
幼	幼	幼	おさな-い	ヨウ	yòu
用	用	用	もち-いる	ヨウ	yòng
羊	羊	羊	ひつじ	ヨウ	yáng
妖	妖	妖	あや-しい	ヨウ	yāo
洋	洋	洋		ヨウ	yáng
要	要	要	かなめ、い-る	ヨウ	yào
容	容	容		ヨウ	róng
庸	庸	庸		ヨウ	yōng
揚	揚	扬	あ-げる、あ-がる	ヨウ	yáng
搖	揺	摇	ゆ-れる、ゆ-る、ゆ-らぐ、ゆ-るぐ、ゆ-する、ゆ-さぶる、ゆ-すぶる	ヨウ	yáo
葉	葉	叶	は	ヨウ	yè
陽	陽	阳		ヨウ	yáng
溶	溶	溶	と-ける、と-かす、と-く	ヨウ	róng
腰	腰	腰	こし	ヨウ	yāo
樣	様	样	さま	ヨウ	yàng
瘍	瘍	疡		ヨウ	yáng
窯	窯	窑	かま	ヨウ	yáo
養	養	养	やしな-う	ヨウ	yǎng
擁	擁	拥		ヨウ	yōng
謠	謡	谣	うたい、うた-う	ヨウ	yáo
曜	曜	曜		ヨウ	yào
抑	抑	抑	おさ-える	ヨク	yì
沃	沃	沃		ヨク	wò
浴	浴	浴	あ-びる、あ-びせる	ヨク	yù
欲	欲	欲	ほっ-する、ほ-しい	ヨク	yù
翌	翌	翌		ヨク	yì
翼	翼	翼	つばさ	ヨク	yì
拉	拉	拉		ラ	lā
裸	裸	裸	はだか	ラ	luǒ
羅	羅	罗		ラ	luō
來	来	来	く-る、きた-る、きた-す	ライ	lái
雷	雷	雷	かみなり	ライ	léi
賴	頼	赖	たの-む、たの-もしい、たよ-る	ライ	lài
絡	絡	络	から-む、から-まる、から-める	ラク	luò
落	落	落	お-ちる、お-とす	ラク	luò
酪	酪	酪		ラク	lào
辣	辣	辣		ラツ	là
亂	乱	乱	みだ-れる、みだ-す	ラン	luàn
卵	卵	卵	たまご	ラン	luǎn
覽	覧	览		ラン	lǎn
濫	濫	滥		ラン	làn
藍	藍	蓝	あい	ラン	lán
吏	吏	吏		リ	lì
利	利	利	き-く	リ	lì
理	理	理		リ	lǐ
痢	痢	痢		リ	lì
履	履	履	は-く	リ	lǚ
璃	璃	璃		リ	lí
離	離	离	はな-れる、はな-す	リ	lí
陸	陸	陆		リク	lù
立	立	立	た-つ、た-てる	リツ、（リュウ）	lì
律	律	律		リツ、（リチ）	lǜ
略	略	略		リャク	lüè
柳	柳	柳	やなぎ	リュウ	liǔ
流	流	流	なが-れる、なが-す	リュウ、（ル）	liú
留	留	留	と-める、と-まる	リュウ、（ル）	liú
龍	竜	龙	たつ	リュウ	lóng
粒	粒	粒	つぶ	リュウ	lì
硫	硫	硫		リュウ	liú
侶	侶	侣		リョ	lǚ
旅	旅	旅	たび	リョ	lǚ
慮	慮	虑		リョ	lǜ
了	了	了		リョウ	le
兩	両	两		リョウ	liǎng
良	良	良	よ-い	リョウ	liáng
料	料	料		リョウ	liào
涼	涼	凉	すず-しい、すず-む	リョウ	liáng
獵	猟	猎		リョウ	liè
陵	陵	陵	みささぎ	リョウ	líng
量	量	量	はか-る	リョウ	liàng
僚	僚	僚		リョウ	liáo
領	領	领		リョウ	lǐng
寮	寮	寮		リョウ	liáo
療	療	疗		リョウ	liáo
瞭	瞭	瞭		リョウ	liǎo
糧	糧	粮	かて	リョウ、（ロウ）	liáng
力	力	力	ちから	リョク、リキ	lì
綠	緑	绿	みどり	リョク、（ロク）	lǜ
林	林	林	はやし	リン	lín
厘	厘	厘		リン	lí
倫	倫	伦		リン	lún
輪	輪	轮	わ	リン	lún
臨	臨	临	のぞ-む	リン	lín
淚	涙	泪	なみだ	ルイ	lèi
累	累	累		ルイ	lèi
壘	塁	垒		ルイ	lěi
令	令	令		レイ	lìng
禮	礼	礼		レイ、ライ	lǐ
冷	冷	冷	つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ます	レイ	lěng
勵	励	励	はげ-む、はげ-ます	レイ	lì
戾	戻	戾	もど-す、もど-る	レイ	lì
例	例	例	たと-える	レイ	lì
鈴	鈴	铃	すず	レイ、リン	líng
零	零	零		レイ	líng
靈	霊	灵	たま	レイ、リョウ	líng
齡	齢	龄		レイ	líng
麗	麗	丽	うるわ-しい	レイ	lì
歷	歴	历		レキ	lì
列	列	列		レツ	liè
劣	劣	劣	おと-る	レツ	liè
烈	烈	烈		レツ	liè
裂	裂	裂	さ-く、さ-ける	レツ	liè
戀	恋	恋	こ-う、こい、こい-しい	レン	liàn
連	連	连	つら-なる、つら-ねる、つ-れる	レン	lián
廉	廉	廉		レン	lián
呂	呂	吕		ロ	lǚ
爐	炉	炉		ロ	lú
賂	賂	赂		ロ	lù
路	路	路	じ	ロ	lù
露	露	露	つゆ	ロ、（ロウ）	lù
老	老	老	お-いる、ふ-ける	ロウ	lǎo
勞	労	劳		ロウ	láo
弄	弄	弄	もてあそ-ぶ	ロウ	nòng
浪	浪	浪		ロウ	làng
樓	楼	楼		ロウ	lóu
漏	漏	漏	も-る、も-れる、も-らす	ロウ	lòu
籠	籠	笼	かご、こ-もる	ロウ	lóng
六	六	六	む、む-つ、むっ-つ、（むい）	ロク	liù
錄	録	录		ロク	lù
麓	麓	麓	ふもと	ロク	lù
論	論	论		ロン	lùn
和	和	和	やわ-らぐ、やわ-らげる、なご-む、なご-やか	ワ、（オ）	hé
話	話	话	はな-す、はなし	ワ	huà
賄	賄	贿	まかな-う	ワイ	huì
惑	惑	惑	まど-う	ワク	huò
灣	湾	湾		ワン	wān
腕	腕	腕	うで	ワン	wàn
