#Common	Kanji	Simpl.	Kun'yomi	On'yomi	Pinyin
貫	貫	贯	つらぬ-く	カン	guàn
寒	寒	寒	さむ-い	カン	hán
喚	喚	唤		カン	huàn
堪	堪	堪	た-える	カン	kān
換	換	换	か-える、か-わる	カン	huàn
敢	敢	敢		カン	gǎn
棺	棺	棺		カン	guān
款	款	款		カン	kuǎn
間	間	间	あいだ、ま	カン、ケン	jiān
閑	閑	闲		カン	xián
勸	勧	劝	すす-める	カン	quàn
寬	寛	宽		カン	kuān
感	感	感		カン	gǎn
慣	慣	惯	な-れる、な-らす	カン	guàn
管	管	管	くだ	カン	guǎn
關	関	关	せき、かか-わる	カン	guān
歡	歓	欢		カン	huān
監	監	监		カン	jiān
緩	緩	缓	ゆる-い、ゆる-やか、ゆる-む、ゆる-める	カン	huǎn
憾	憾	憾		カン	hàn
還	還	还		カン	hái
館	館	馆	やかた	カン	guǎn
環	環	环		カン	huán
簡	簡	简		カン	jiǎn
觀	観	观		カン	guān
艦	艦	舰		カン	jiàn
丸	丸	丸	まる、まる-い、まる-める	ガン	wán
含	含	含	ふく-む、ふく-める	ガン	hán
岸	岸	岸	きし	ガン	àn
岩	岩	岩	いわ	ガン	yán
玩	玩	玩		ガン	wán
眼	眼	眼	まなこ	ガン、（ゲン）	yǎn
頑	頑	顽		ガン	wán
願	願	愿	ねが-う	ガン	yuàn
企	企	企	くわだ-てる	キ	qǐ
伎	伎	伎		キ	jì
危	危	危	あぶ-ない、あや-うい、あや-ぶむ	キ	wēi
氣	気	气		キ、ケ	qì
岐	岐	岐		キ	qí
希	希	希		キ	xī
忌	忌	忌	い-む、い-まわしい	キ	jì
汽	汽	汽		キ	qì
奇	奇	奇		キ	qí
季	季	季		キ	jì
紀	紀	纪		キ	jì
軌	軌	轨		キ	guǐ
記	記	记	しる-す	キ	jì
起	起	起	お-きる、お-こる、お-こす	キ	qǐ
飢	飢	饥	う-える	キ	jī
鬼	鬼	鬼	おに	キ	guǐ
歸	帰	归	かえ-る、かえ-す	キ	guī
基	基	基	もと、もとい	キ	jī
寄	寄	寄	よ-る、よ-せる	キ	jì
規	規	规		キ	guī
龜	亀	龟	かめ	キ	guī
喜	喜	喜	よろこ-ぶ	キ	xǐ
幾	幾	几	いく	キ	jǐ
揮	揮	挥		キ	huī
期	期	期		キ、（ゴ）	qī
棋	棋	棋		キ	qí
貴	貴	贵	たっと-い、とうと-い、たっと-ぶ、とうと-ぶ	キ	guì
棄	棄	弃		キ	qì
毀	毀	毁		キ	huǐ
旗	旗	旗	はた	キ	qí
畿	畿	畿		キ	jī
輝	輝	辉	かがや-く	キ	huī
機	機	机	はた	キ	jī
騎	騎	骑		キ	qí
技	技	技	わざ	ギ	jì
宜	宜	宜		ギ	yí
欺	欺	欺	あざむ-く	ギ	qī
義	義	义		ギ	yì
疑	疑	疑	うたが-う	ギ	yí
儀	儀	仪		ギ	yí
戲	戯	戏	たわむ-れる	ギ	xì
擬	擬	拟		ギ	nǐ
犧	犠	牺		ギ	xī
議	議	议		ギ	yì
菊	菊	菊		キク	jú
吉	吉	吉		キチ、キツ	jí
詰	詰	诘	つ-める、つ-まる、つ-む	キツ	jí
客	客	客		キャク、カク	kè
逆	逆	逆	さか、さか-らう	ギャク	nì
虐	虐	虐	しいた-げる	ギャク	nüè
九	九	九	ここの、ここの-つ	キュウ、ク	jiǔ
久	久	久	ひさ-しい	キュウ、（ク）	jiǔ
及	及	及	およ-ぶ、およ-び、およ-ぼす	キュウ	jí
弓	弓	弓	ゆみ	キュウ	gōng
丘	丘	丘	おか	キュウ	qiū
舊	旧	旧		キュウ	jiù
休	休	休	やす-む、やす-まる、やす-める	キュウ	xiū
吸	吸	吸	す-う	キュウ	xī
朽	朽	朽	く-ちる	キュウ	xiǔ
臼	臼	臼	うす	キュウ	jiù
求	求	求	もと-める	キュウ	qiú
究	究	究	きわ-める	キュウ	jiū
泣	泣	泣	な-く	キュウ	qì
急	急	急	いそ-ぐ	キュウ	jí
級	級	级		キュウ	jí
糾	糾	纠		キュウ	jiū
宮	宮	宫	みや	キュウ、グウ、（ク）	gōng
救	救	救	すく-う	キュウ	jiù
球	球	球	たま	キュウ	qiú
給	給	给		キュウ	gěi
嗅	嗅	嗅	か-ぐ	キュウ	xiù
窮	窮	穷	きわ-める、きわ-まる	キュウ	qióng
牛	牛	牛	うし	ギュウ	niú
去	去	去	さ-る	キョ、コ	qù
巨	巨	巨		キョ	jù
居	居	居	い-る	キョ	jū
拒	拒	拒	こば-む	キョ	jù
據	拠	据		キョ、コ	jù
虛	虚	虚		キョ、（コ）	xū
許	許	许	ゆる-す	キョ	xǔ
距	距	距		キョ	jù
魚	魚	鱼	うお、さかな	ギョ	yú
御	御	御	おん	ギョ、ゴ	yù
漁	漁	渔		ギョ、リョウ	yú
凶	凶	凶		キョウ	xiōng
共	共	共	とも	キョウ	gòng
叫	叫	叫	さけ-ぶ	キョウ	jiào
狂	狂	狂	くる-う、くる-おしい	キョウ	kuáng
京	京	京		キョウ、ケイ	jīng
享	享	享		キョウ	xiǎng
供	供	供	そな-える、とも	キョウ、（ク）	gōng
協	協	协		キョウ	xié
況	況	况		キョウ	kuàng
峽	峡	峡		キョウ	xiá
挾	挟	挟	はさ-む、はさ-まる	キョウ	xié
狹	狭	狭	せま-い、せば-める、せば-まる	キョウ	xiá
恐	恐	恐	おそ-れる、おそ-ろしい	キョウ	kǒng
恭	恭	恭	うやうや-しい	キョウ	gōng
胸	胸	胸	むね、（むな）	キョウ	xiōng
脅	脅	胁	おびや-かす、おど-す、おど-かす	キョウ	xié
強	強	强	つよ-い、つよ-まる、つよ-める、し-いる	キョウ、ゴウ	qiáng
教	教	教	おし-える、おそ-わる	キョウ	jiào
境	境	境	さかい	キョウ、（ケイ）	jìng
橋	橋	桥	はし	キョウ	qiáo
矯	矯	矫	た-める	キョウ	jiǎo
鏡	鏡	镜	かがみ	キョウ	jìng
競	競	竞	きそ-う、せ-る	キョウ、ケイ	jìng
驚	驚	惊	おどろ-く、おどろ-かす	キョウ	jīng
仰	仰	仰	あお-ぐ、おお-せ	ギョウ、（コウ）	yǎng
曉	暁	晓	あかつき	ギョウ	xiǎo
業	業	业	わざ	ギョウ、ゴウ	yè
凝	凝	凝	こ-る、こ-らす	ギョウ	níng
曲	曲	曲	ま-がる、ま-げる	キョク	qū
局	局	局		キョク	jú
極	極	极	きわ-める、きわ-まる、きわ-み	キョク、ゴク	jí
玉	玉	玉	たま	ギョク	yù
巾	巾	巾		キン	jīn
斤	斤	斤		キン	jīn
均	均	均		キン	jūn
近	近	近	ちか-い	キン	jìn
金	金	金	かね、（かな）	キン、コン	jīn
菌	菌	菌		キン	jūn
琴	琴	琴	こと	キン	qín
筋	筋	筋	すじ	キン	jīn
禁	禁	禁		キン	jìn
緊	緊	紧		キン	jǐn
錦	錦	锦	にしき	キン	jǐn
襟	襟	襟	えり	キン	jīn
吟	吟	吟		ギン	yín
銀	銀	银		ギン	yín
區	区	区		ク	qū
句	句	句		ク	jù
苦	苦	苦	くる-しい、くる-しむ、くる-しめる、にが-い、にが-る	ク	kǔ
驅	駆	驱	か-ける、か-る	ク	qū
具	具	具		グ	jù
愚	愚	愚	おろ-か	グ	yú
空	空	空	そら、あ-く、あ-ける、から	クウ	kōng
偶	偶	偶		グウ	ǒu
遇	遇	遇		グウ	yù
隅	隅	隅	すみ	グウ	yú
串	串	串	くし		chuàn
屈	屈	屈		クツ	qū
掘	掘	掘	ほ-る	クツ	jué
窟	窟	窟		クツ	kū
熊	熊	熊	くま		xióng
繰	繰	缲	く-る		qiāo
君	君	君	きみ	クン	jūn
訓	訓	训		クン	xùn
薰	薫	薰	かお-る	クン	xūn
軍	軍	军		グン	jūn
郡	郡	郡		グン	jùn
群	群	群	む-れる、む-れ、（むら）	グン	qún
兄	兄	兄	あに	ケイ、（キョウ）	xiōng
刑	刑	刑		ケイ	xíng
形	形	形	かた、かたち	ケイ、ギョウ	xíng
系	系	系		ケイ	xì
徑	径	径		ケイ	jìng
莖	茎	茎	くき	ケイ	jīng
型	型	型	かた	ケイ	xíng
契	契	契	ちぎ-る	ケイ	qì
計	計	计	はか-る、はか-らう	ケイ	jì
惠	恵	惠	めぐ-む	ケイ、エ	huì
揭	掲	揭	かか-げる	ケイ	jiē
溪	渓	溪		ケイ	xī
經	経	经	へ-る	ケイ、キョウ	jīng
螢	蛍	萤	ほたる	ケイ	yíng
敬	敬	敬	うやま-う	ケイ	jìng
景	景	景		ケイ	jǐng
輕	軽	轻	かる-い、かろ-やか	ケイ	qīng
傾	傾	倾	かたむ-く、かたむ-ける	ケイ	qīng
繼	継	继	つ-ぐ	ケイ	jì
詣	詣	诣	もう-でる	ケイ	yì
慶	慶	庆		ケイ	qìng
憬	憬	憬		ケイ	jǐng
稽	稽	稽		ケイ	jī
憩	憩	憩	いこ-い、いこ-う	ケイ	qì
警	警	警		ケイ	jǐng
藝	芸	艺		ゲイ	yì
迎	迎	迎	むか-える	ゲイ	yíng
鯨	鯨	鲸	くじら	ゲイ	jīng
隙	隙	隙	すき	ゲキ	xì
劇	劇	剧		ゲキ	jù
擊	撃	击	う-つ	ゲキ	jī
激	激	激	はげ-しい	ゲキ	jī
桁	桁	桁	けた		héng
缺	欠	缺	か-ける、か-く	ケツ	quē
穴	穴	穴	あな	ケツ	xué
血	血	血	ち	ケツ	xuè
決	決	决	き-める、き-まる	ケツ	jué
結	結	结	むす-ぶ、ゆ-う、ゆ-わえる	ケツ	jié
潔	潔	洁	いさぎよ-い	ケツ	jié
月	月	月	つき	ゲツ、ガツ	yuè
犬	犬	犬	いぬ	ケン	quǎn
件	件	件		ケン	jiàn
見	見	见	み-る、み-える、み-せる	ケン	jiàn
券	券	券		ケン	quàn
肩	肩	肩	かた	ケン	jiān
建	建	建	た-てる、た-つ	ケン、（コン）	jiàn
